                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1678,                 2.7212,                 1.4483,                 1.0814,                 3.8092,                  1.382,                0.01103,                0.75859,                0.09092,                0.06329,                 1.1401,                 3.0817,                 1.3525,                 1.0163,                 5.3513,                 1.2563,             0.00026672,             0.00026672,             0.00026672
                      2,                 1.1085,                 1.9364,                 1.3915,                 1.0177,                 3.2503,                 1.2878,                0.01001,                0.73933,                0.14969,                0.10625,                 1.1863,                 3.0266,                 1.3912,                 1.0187,                 5.2986,                 1.3019,             0.00054648,             0.00054648,             0.00054648
                      3,                 1.1552,                 1.5616,                 1.4311,                 1.0479,                 3.0775,                 1.3113,                0.59931,                0.09555,                0.16656,                0.11399,                 1.5271,                 2.9966,                 1.9753,                 1.3069,                 5.4203,                 1.6056,              0.0008225,              0.0008225,              0.0008225
                      4,                 1.2038,                 1.6125,                 1.3851,                 1.1489,                 2.9385,                 1.3037,                 0.5125,                0.07296,                0.19172,                0.11615,                 1.2976,                 2.5852,                 1.5674,                 1.2041,                 5.0974,                 1.4107,              0.0010948,              0.0010948,              0.0010948
                      5,                 1.1137,                  1.358,                 1.3252,                 1.1148,                  2.651,                  1.277,                0.00814,                0.52531,                0.06079,                0.02212,                 2.3197,                 3.4025,                 2.6118,                 2.1184,                  5.683,                  2.285,              0.0013633,              0.0013633,              0.0013633
                      6,                 1.1257,                 1.4114,                 1.3479,                 1.1211,                 2.6222,                 1.2904,                0.53608,                0.27975,                0.30021,                0.17363,                 1.3985,                 2.1308,                 1.6813,                 1.3942,                 4.3052,                 1.6747,               0.001612,               0.001612,               0.001612
                      7,                 1.1036,                 1.3303,                 1.3171,                 1.1591,                 2.2819,                 1.2962,                0.45121,                0.44619,                0.36653,                0.20895,                 1.3201,                 1.7953,                 1.5271,                 1.2922,                 4.0244,                 1.4425,               0.001612,               0.001612,               0.001612
                      8,                 1.1029,                 1.2471,                 1.2936,                 1.1923,                 2.2129,                 1.3055,                0.34927,                0.40298,                0.32427,                 0.1753,                 1.5772,                 2.5169,                 1.7461,                 1.4813,                 4.4786,                 1.6018,               0.001601,               0.001601,               0.001601
                      9,                 1.0715,                 1.2266,                 1.2836,                  1.147,                 2.0897,                 1.2865,                0.48336,                0.47807,                0.47822,                0.30785,                  1.265,                 1.8951,                 1.5296,                 1.2843,                 3.5558,                 1.4776,                0.00159,                0.00159,                0.00159
                     10,                 1.0591,                 1.1441,                 1.2706,                 1.1374,                  1.927,                 1.2692,                0.47049,                0.32927,                0.36139,                0.23005,                 1.2023,                 2.1484,                 1.4057,                 1.2279,                 3.8072,                 1.4073,               0.001579,               0.001579,               0.001579
                     11,                 1.0302,                 1.0821,                 1.2638,                 1.0983,                 1.7775,                 1.2621,                0.47525,                0.50344,                0.43064,                0.27818,                 1.1954,                 2.0107,                 1.3962,                 1.2817,                 3.4517,                 1.4484,               0.001568,               0.001568,               0.001568
                     12,                 1.0199,                 1.1339,                 1.2513,                 1.0846,                 1.7845,                 1.2493,                0.55555,                0.57995,                0.51518,                0.33655,                 1.1506,                 1.6603,                 1.3683,                 1.2205,                 2.8289,                  1.379,               0.001557,               0.001557,               0.001557
                     13,                 1.0711,                 1.1378,                 1.2707,                 1.1534,                 1.7821,                 1.2747,                0.64207,                0.43445,                0.50294,                0.31797,                 1.2712,                 1.6136,                 1.4561,                 1.2905,                 2.6846,                   1.43,               0.001546,               0.001546,               0.001546
                     14,                 1.0349,                 1.0583,                 1.2563,                 1.1082,                 1.6187,                 1.2707,                0.63072,                0.57462,                0.58892,                0.38121,                 1.2197,                 1.4071,                 1.4114,                 1.2682,                 2.2409,                  1.375,               0.001535,               0.001535,               0.001535
                     15,                 1.0026,                 1.0414,                 1.2255,                 1.0694,                 1.5133,                  1.226,                0.50011,                0.63435,                0.53161,                0.34359,                 1.1689,                 1.6695,                  1.378,                 1.1827,                 2.4832,                 1.3243,               0.001524,               0.001524,               0.001524
